address	distance	customers	trucks	truck_capacity	algorithm	total_distance
1400 Washington Ave, Albany, NY 12222	10000	51	4	25	ga	254.91118986220198
1400 Washington Ave, Albany, NY 12222	10000	52	4	25	nn	230.09924058347417
1400 Washington Ave, Albany, NY 12222	10000	39	4	25	ga	228.12748767599496
1400 Washington Ave, Albany, NY 12222	10000	64	4	25	sa	276.21460282026936
1400 Washington Ave, Albany, NY 12222	10000	67	4	25	nn	319.1653346673654
1400 Washington Ave, Albany, NY 12222	10000	77	4	25	aco	281.33500999784206
1400 Washington Ave, Albany, NY 12222	10000	78	4	25	sa	382.1539822680587
1400 Washington Ave, Albany, NY 12222	10000	76	4	25	ga	309.675470021073
1400 Washington Ave, Albany, NY 12222	10000	32	4	25	nn	190.43719127316797
1400 Washington Ave, Albany, NY 12222	10000	16	4	25	sa	104.5474494844017
1400 Washington Ave, Albany, NY 12222	10000	66	4	25	aco	250.2068884503102
1400 Washington Ave, Albany, NY 12222	10000	56	4	25	sa	277.9279155370551
1400 Washington Ave, Albany, NY 12222	10000	78	4	25	ga	388.9449749805884
1400 Washington Ave, Albany, NY 12222	10000	26	4	25	sa	173.23383328242264
1400 Washington Ave, Albany, NY 12222	10000	99	4	25	nn	373.3691428188446
1400 Washington Ave, Albany, NY 12222	10000	18	4	25	sa	119.00125694028593
1400 Washington Ave, Albany, NY 12222	10000	37	4	25	ga	207.6272647593991
1400 Washington Ave, Albany, NY 12222	10000	49	4	25	nn	211.66750707126462
1400 Washington Ave, Albany, NY 12222	10000	28	4	25	ga	166.57901978643835
